seed,task,subwindow_idx,sigma_mean,sigma_std,sigma_cv,n
42,FXS,0,0.025489768090229185,0.0026964929043267823,0.1057872670626772,630
42,FXS,1,0.0254676274038733,0.00269676270132207,0.1058898286265931,630
42,FXS,2,0.025450935241367136,0.0026837714042706527,0.10544883238351636,630
42,FXS,3,0.02596068973874762,0.0024786566764739043,0.09547730439435845,630
42,FXS,4,0.026251824903819297,0.002324758604388516,0.08855607611683765,630
42,FXS,5,0.026386307327756806,0.002195339822145767,0.08319996409032959,630
42,FXS,6,0.026561260708267725,0.00203306518076567,0.07654249559520485,630
42,FXS,7,0.026610278775767673,0.002011929538006136,0.07560723263967739,630
42,FXS,8,0.026604275780892563,0.002073952697535133,0.07795561565425754,630
42,FXS,9,0.026643528339881744,0.0020504624437108453,0.07695911808503161,630
42,FXS,10,0.026650937451493172,0.0020767037650760737,0.07792235334519995,630
42,FXS,11,0.026706056290912248,0.0020209233317014462,0.07567284774986198,630
42,FXS,12,0.026688350601092217,0.0020622174757705144,0.07727032316812109,630
42,FXS,13,0.026707018347131826,0.0020606790402209673,0.07715870837533131,630
42,FXS,14,0.026687835227875482,0.0020610170923237277,0.07722683667392372,630
42,FXS,15,0.026670242398090308,0.002175408731807934,0.08156689014433935,630
42,FXS,16,0.026641462162314427,0.0021373463039093986,0.0802263138144412,630
42,FXS,17,0.026649617374179854,0.0021160924072073438,0.07940423224453394,630
42,FXS,18,0.026626236668773114,0.0021331226519225566,0.08011356161437015,630
42,FXS,19,0.02662231395582831,0.002173002097806602,0.08162333677726297,630
42,FXS,20,0.026625743746343584,0.0021495472254302044,0.0807319129151235,630
42,FXS,21,0.02668047837085194,0.0020376070002434575,0.07637070714854631,630
42,FXS,22,0.026646117401856278,0.002083789888997497,0.0782023833930992,630
42,FXS,23,0.02663778488834699,0.0020757724398584964,0.07792586540356691,630
42,FXS,24,0.026670766275908267,0.0020426355182396466,0.07658705779611445,630
42,FXS,25,0.02663989869197683,0.0020539864734993017,0.07710188755777451,630
42,FXS,26,0.026591752839112092,0.0021287337480722615,0.08005240425299247,630
42,FXS,27,0.02662907395038813,0.002084723218609741,0.07828748466783823,630
42,FXS,28,0.026636205072559063,0.0021229548612149425,0.07970185149993593,630
42,FXS,29,0.02665743487221854,0.002090160252583271,0.07840815377032258,630
42,FXS,30,0.026656988422785487,0.00208586548617159,0.07824835473119923,630
42,FXS,31,0.02666593619459678,0.0020887399852227923,0.07832989511337786,630
42,FXS,32,0.02666650904519927,0.0021469867133154497,0.08051247764288698,630
42,FXS,33,0.02667349898034618,0.0021066381872292977,0.07897869674996635,630
42,FXS,34,0.02670683760255102,0.002081548202068491,0.07794064700006499,630
42,FXS,35,0.02662130877198208,0.0020846410886701493,0.07830723524998723,630
42,FXS,36,0.026635005829175787,0.0021154091543877126,0.0794221397192453,630
42,FXS,37,0.026636952419011366,0.002090133950671873,0.07846745820592071,630
42,FXS,38,0.026623307372487727,0.002077470032305707,0.07803200418489495,630
42,FXS,39,0.026658688113093375,0.002059657494311138,0.07726027198238387,630
42,FXS,40,0.026614215162893137,0.0020937154398405528,0.07866906564878588,630
42,FXS,41,0.026638660736618535,0.0020547068545566003,0.07713251333735861,630
42,FXS,42,0.026660099383147937,0.002039708121857856,0.07650789640893732,630
42,FXS,43,0.026652661864719693,0.0020885415126213652,0.07836146060090086,630
42,FXS,44,0.026648392217854658,0.002093157359138976,0.07854722874187292,630
42,FXS,45,0.026714864506253173,0.002065123699962752,0.07730242088554733,630
42,FXS,46,0.026679035894099683,0.0020752076374704505,0.07778420650985375,630
42,FXS,47,0.026699318172084905,0.002066897072203956,0.07741385225203883,630
42,FXS,48,0.026675154280567926,0.002137871619501512,0.08014467684105915,630
42,FXS,49,0.026673272784267153,0.002121817292152728,0.07954844196713091,630
42,FXS,50,0.026685371005996352,0.0021715974196079325,0.08137782379416657,630
42,FXS,51,0.026758156356120867,0.002056747894675878,0.0768643350200546,630
42,FXS,52,0.026689937761023876,0.00208318277780321,0.07805124149990882,630
42,FXS,53,0.02672653759992312,0.00205096693886071,0.07673896894398359,630
42,FXS,54,0.02665031547288573,0.002148782907695817,0.08062879817996932,630
42,FXS,55,0.02664919447094675,0.0021642506184763933,0.08121260929053159,630
42,FXS,56,0.026713149435818196,0.0020568098014789806,0.07699615526131551,630
42,FXS,57,0.02661354172501772,0.002220005975813337,0.08341640502986676,630
42,FXS,58,0.026608782075345516,0.002218379043118859,0.08337018345436817,630
42,FXS,59,0.026545802141643232,0.0022424160960987675,0.08447347283512745,630
42,FXS,60,0.026527122910770157,0.002261639119778494,0.0852576107626152,630
42,FXS,61,0.026570044824528315,0.00216599284761544,0.08152010513794426,630
42,FXS,62,0.026518749581679466,0.0021744196569304453,0.08199555752932815,630
42,FXS,63,0.026611825285686386,0.0021551309338222052,0.08098395772128333,630
42,FXS,64,0.026603855707106137,0.002136732663183711,0.08031665359743212,630
42,FXS,65,0.026629493358944142,0.002183188757469021,0.0819838638325331,630
42,FXS,66,0.026636683087914236,0.002137871467587971,0.08026042358697354,630
42,FXS,67,0.02664646024091376,0.002204054063952572,0.08271470371769689,630
42,FXS,68,0.02662480069649598,0.002126340100179292,0.07986313679557924,630
42,FXS,69,0.026606428034840122,0.0021028918107267773,0.07903698339262674,630
42,FXS,70,0.026585754151973458,0.002125195118116436,0.07993736442337045,630
42,FXS,71,0.026579202093657047,0.0021670043587272065,0.08153007569946383,630
42,FXS,72,0.026595849738944143,0.002175144924192656,0.08178512608332285,630
42,FXS,73,0.026636098774652634,0.0021549800878678227,0.08090449378865266,630
42,FXS,74,0.02661553891819148,0.002205198890131234,0.08285381321450533,630
42,FXS,75,0.026646009738010075,0.002164271510185632,0.08122309987368713,630
42,FXS,76,0.02671141332340619,0.002045530759518351,0.07657890410935053,630
42,FXS,77,0.026777156903630212,0.001984487207963624,0.07411119915029457,630
42,HSS,0,0.032411681677081756,0.004194256062828534,0.12940569096710233,4200
42,HSS,1,0.03195465693072904,0.004707168381492322,0.1473077427085658,4200
42,HSS,2,0.031497629392847774,0.0050022208330632355,0.15881261318666412,4200
42,HSS,3,0.030941400085797623,0.005258148908810012,0.16993894569184506,4200
42,HSS,4,0.03020116960718518,0.005514562739154388,0.18259434355954263,4200
42,HSS,5,0.030393866573327353,0.005411075575094619,0.17803182632390704,4200
42,HSS,6,0.030894127742254307,0.005203116979808873,0.16841766898932384,4200
42,HSS,7,0.03175301327325759,0.004543850065350512,0.14309980681982537,4200
42,HSS,8,0.032331439016519914,0.0039815511489752955,0.12314797206956676,4200
42,HSS,9,0.03254801121850808,0.003757095899601424,0.11543242609751195,4200
42,HSS,10,0.032676054462347004,0.003609933754443629,0.11047642727500646,4200
42,HSS,11,0.03271207825923782,0.003557220107153699,0.10874332345879455,4200
42,HSS,12,0.03276793060181219,0.0034866198164060017,0.10640341798737753,4200
42,HSS,13,0.032810004466834165,0.0033807128869842605,0.10303908645918161,4200
42,HSS,14,0.03276809630427687,0.003460434037153751,0.10560375570863106,4200
42,HSS,15,0.0326942010547611,0.0034933283834897373,0.10684856246031499,4200
42,HSS,16,0.032401617284021564,0.0038736535461190414,0.11955124067307848,4200
42,HSS,17,0.03203883642153371,0.004268986974408868,0.1332441327844112,4200
42,HSS,18,0.03134725065547086,0.004845277894517187,0.1545678741580984,4200
42,HSS,19,0.030350183851662136,0.005444465468758539,0.1793882203603314,4200
42,HSS,20,0.030402994773661096,0.005417897111477573,0.1782027445589419,4200
42,HSS,21,0.030854184127057947,0.0053330687450661085,0.17284750499654955,4200
42,HSS,22,0.03152711130833874,0.004961208924871729,0.15736325717730812,4200
42,HSS,23,0.03240243020001799,0.0042185698246051916,0.13019300708509354,4200
42,HSS,24,0.0328266759112566,0.00373214776917861,0.11369252796926718,4200
42,HSS,25,0.03297189055720255,0.0035355737907976624,0.10722993832166937,4200
42,HSS,26,0.03301276215063852,0.0034719691515664388,0.10517051362511591,4200
42,HSS,27,0.03302714498114905,0.0034156167614696996,0.10341846876014368,4200
42,HSS,28,0.0330710849367703,0.0033117791010423584,0.100141229335967,4200
42,HSS,29,0.03304268049963174,0.003356858912317006,0.10159160399697048,4200
42,HSS,30,0.03301374400566731,0.0033674225236891985,0.10200062504607563,4200
42,HSS,31,0.03289196313957551,0.003581412632653334,0.10888412520273652,4200
42,HSS,32,0.0326476236678926,0.0039147179412675525,0.11990820468558307,4200
42,HSS,33,0.03206276699900627,0.004540021702480876,0.1415979382759319,4200
42,HSS,34,0.031261703289291336,0.005195304070491472,0.16618749216620957,4200
42,HSS,35,0.030470668988834534,0.005615832138525458,0.18430288289972516,4200
42,HSS,36,0.030661111185992403,0.005524189960332754,0.18016926806150757,4200
42,HSS,37,0.0311582219006405,0.005267124886141159,0.1690444629009105,4200
42,HSS,38,0.031925606641120145,0.004641844313696488,0.14539564951344724,4200
42,HSS,39,0.0326370698630455,0.003935629690806138,0.12058771535928833,4200
42,HSS,40,0.032865675324574115,0.0036466012932289543,0.11095470448167973,4200
42,HSS,41,0.03298693448593396,0.003435025269492953,0.10413290361848236,4200
42,HSS,42,0.03305298464417103,0.003352280064801763,0.10142140266273791,4200
42,HSS,43,0.03310985242393577,0.0032641421870337707,0.09858522307015954,4200
42,HSS,44,0.03314068401742372,0.0032487997535292214,0.09803055820517055,4200
42,HSS,45,0.03314116174842985,0.003224765794261547,0.09730394543016672,4200
42,HSS,46,0.03304422176576086,0.0033849368544538257,0.10243657358458856,4200
42,HSS,47,0.032817804208468825,0.0036847600243500728,0.11227929818044313,4200
42,HSS,48,0.032302478188427075,0.004315150978516294,0.13358575627990896,4200
42,HSS,49,0.03193232928580117,0.00462138452957082,0.14472431648215953,4200
42,HSS,50,0.030823158771464867,0.005339337242161143,0.17322485608139998,4200
