seed,task,subwindow_idx,sigma_mean,sigma_std,sigma_cv,n
pooled,FXS,0,0.03804302420959901,0.015778533944364424,0.4147549852354584,1890
pooled,FXS,1,0.03795019576927184,0.01557996756005644,0.41053721184414793,1890
pooled,FXS,2,0.03798896188419017,0.015609992052510192,0.41090862393390615,1890
pooled,FXS,3,0.03789838379613621,0.014475825853869036,0.38196420015528115,1890
pooled,FXS,4,0.0374861768215264,0.013317997326134895,0.35527755709904907,1890
pooled,FXS,5,0.037291512454036994,0.012780157066234468,0.34270953965695083,1890
pooled,FXS,6,0.037315724003646106,0.01265893558992106,0.3392386434384647,1890
pooled,FXS,7,0.037380957976969144,0.012952605162527839,0.34650276139279507,1890
pooled,FXS,8,0.03738907062936397,0.013035315555782,0.3486397317815264,1890
pooled,FXS,9,0.03738921215885846,0.012985546805519528,0.34730731287802546,1890
pooled,FXS,10,0.0374468660494559,0.013134755542584035,0.35075713746611065,1890
pooled,FXS,11,0.03746151050562581,0.013120332322971143,0.35023500509945504,1890
pooled,FXS,12,0.03740575071522798,0.01286886692910196,0.34403445146906275,1890
pooled,FXS,13,0.037372633763564325,0.012731579148572194,0.3406658259387805,1890
pooled,FXS,14,0.03736015299936293,0.012709383212670632,0.34018552367511323,1890
pooled,FXS,15,0.03738094228492291,0.012731696613668485,0.34059324980696487,1890
pooled,FXS,16,0.03737295621454164,0.012862613846616619,0.34416902352540785,1890
pooled,FXS,17,0.037416054580419786,0.012997270875975553,0.34737149658684646,1890
pooled,FXS,18,0.03745498248331604,0.013129415115723266,0.3505385464155974,1890
pooled,FXS,19,0.03746945593979151,0.013107186473720063,0.3498098956862782,1890
pooled,FXS,20,0.03740755021030073,0.012940871547584267,0.3459427702384211,1890
pooled,FXS,21,0.037378674557324125,0.012816175226155675,0.342873988388773,1890
pooled,FXS,22,0.03735913335390034,0.0126446145593957,0.3384611318366031,1890
pooled,FXS,23,0.03728257104182842,0.012532412957157015,0.33614669286344356,1890
pooled,FXS,24,0.0373199643104007,0.012576401907460916,0.33698858345253024,1890
pooled,FXS,25,0.037328481708687765,0.012627900429788544,0.33829129532609814,1890
pooled,FXS,26,0.037315006043624,0.012597836450407162,0.33760778266200364,1890
pooled,FXS,27,0.037430230018599006,0.013079283346386174,0.34943101711870606,1890
pooled,FXS,28,0.03745041571301285,0.012988826424440715,0.3468272962301859,1890
pooled,FXS,29,0.037424293948859766,0.01292674388785587,0.3454104947315838,1890
pooled,FXS,30,0.03750135561934224,0.013306329835153697,0.35482263548602583,1890
pooled,FXS,31,0.03748333236724927,0.013145331739176149,0.35069805454815345,1890
pooled,FXS,32,0.037460120280012096,0.012954844402032983,0.3458302937950097,1890
pooled,FXS,33,0.03738830351127834,0.012654214601661355,0.3384538321682384,1890
pooled,FXS,34,0.03739528619048614,0.012730111192661429,0.3404202103927243,1890
pooled,FXS,35,0.03733006756969545,0.012587929952365053,0.3372061925380476,1890
pooled,FXS,36,0.037332550761974836,0.012530920953326464,0.33565670433882766,1890
pooled,FXS,37,0.037353885364004226,0.012570209852128172,0.33651679683745445,1890
pooled,FXS,38,0.03738848700547818,0.012731654062790039,0.34052338253015135,1890
pooled,FXS,39,0.0373758089171831,0.012648952917148636,0.33842619821757025,1890
pooled,FXS,40,0.03735538473815987,0.012682761102792607,0.3395162756772977,1890
pooled,FXS,41,0.03734983286904122,0.012677027262639806,0.3394132259463904,1890
pooled,FXS,42,0.03736397600560277,0.012638658420649812,0.3382578561434316,1890
pooled,FXS,43,0.03737821878678111,0.012676097859927926,0.3391306025639418,1890
pooled,FXS,44,0.037373414644528,0.012693486918285781,0.33963947471800754,1890
pooled,FXS,45,0.037523263410995246,0.013162424249308255,0.35078037070334717,1890
pooled,FXS,46,0.03747974602338025,0.013082882041119568,0.349065386754711,1890
pooled,FXS,47,0.03736524038194191,0.012589323734320456,0.3369260736886547,1890
pooled,FXS,48,0.0373452386606938,0.012597658841632171,0.337329718417125,1890
pooled,FXS,49,0.037376518723944194,0.012726919312704086,0.34050574390575733,1890
pooled,FXS,50,0.03743501378854037,0.012947466166794791,0.3458651368457163,1890
pooled,FXS,51,0.037498926032314854,0.01305945518912042,0.3482621123033332,1890
pooled,FXS,52,0.03741923051457557,0.01290817911656354,0.3449611052673982,1890
pooled,FXS,53,0.037488540075719355,0.013178222582224548,0.3515266947074272,1890
pooled,FXS,54,0.037427987723990724,0.01297021211192531,0.3465377889822171,1890
pooled,FXS,55,0.037428224484914195,0.012946124112060552,0.34589201839586625,1890
pooled,FXS,56,0.03740023436152903,0.012801551049991713,0.3422853163497756,1890
pooled,FXS,57,0.037400979260918954,0.012876252739899618,0.34427581828998466,1890
pooled,FXS,58,0.03740155855440116,0.012798329494028125,0.3421870635527862,1890
pooled,FXS,59,0.03738349409596551,0.01277749437163039,0.3417950804392401,1890
pooled,FXS,60,0.037406383943620815,0.012862710402752586,0.3438640426227609,1890
pooled,FXS,61,0.037378049508801525,0.012798400914268928,0.34240419397098953,1890
pooled,FXS,62,0.037375165350616926,0.012893096723413565,0.344964272464436,1890
pooled,FXS,63,0.03747909392116877,0.012977384511863706,0.3462566234701282,1890
pooled,FXS,64,0.037450263327943586,0.012921681417553725,0.34503579599431516,1890
pooled,FXS,65,0.03744033241950015,0.012851144289155889,0.34324332768110233,1890
pooled,FXS,66,0.037477600633132234,0.012889805953454951,0.3439335959533029,1890
pooled,FXS,67,0.037455147128335385,0.012852662377126574,0.3431480947889093,1890
pooled,FXS,68,0.03741656945988772,0.012795507355448675,0.3419743589578955,1890
pooled,FXS,69,0.03745242345132052,0.013010505915310302,0.3473875577696847,1890
pooled,FXS,70,0.037457565179774686,0.013063400482283178,0.34875199227676434,1890
pooled,FXS,71,0.037370912296076614,0.012650851176294638,0.33852133648936333,1890
pooled,FXS,72,0.037408981334280084,0.012834922208173498,0.34309734588822105,1890
pooled,FXS,73,0.03741338490237477,0.012734887917953271,0.3403832064696434,1890
pooled,FXS,74,0.03748159749364412,0.013033095562846054,0.3477198527905893,1890
pooled,FXS,75,0.037525347012178925,0.01304807872754404,0.3477137392842566,1890
pooled,FXS,76,0.03743614482757433,0.012689529394245072,0.33896464106256874,1890
pooled,FXS,77,0.03739009377048918,0.012513401806454381,0.33467158128206714,1890
pooled,HSS,0,0.06973445647174403,0.04676821466588774,0.6706614926415599,12600
pooled,HSS,1,0.06876221362043113,0.046376574922838705,0.674448544935426,12600
pooled,HSS,2,0.06791865744384094,0.046102797711632726,0.6787943025780976,12600
pooled,HSS,3,0.06697277517176219,0.045734802727083065,0.6828864805107596,12600
pooled,HSS,4,0.06623030213195653,0.045642819574867384,0.689153123353252,12600
pooled,HSS,5,0.06680312061253639,0.04597881345898903,0.6882734374890949,12600
pooled,HSS,6,0.06787873517751457,0.04652120623236505,0.6853575882152797,12600
pooled,HSS,7,0.0697554824026745,0.04736197891295951,0.6789714196162394,12600
pooled,HSS,8,0.07096473774451408,0.0478237123840811,0.6739081113250236,12600
pooled,HSS,9,0.07133757945682322,0.047909205303458366,0.6715843972874804,12600
pooled,HSS,10,0.07150447582382531,0.04794739622893321,0.6705509784739534,12600
pooled,HSS,11,0.0716703806309739,0.047980011880569995,0.6694538449239712,12600
pooled,HSS,12,0.07176825097532913,0.048032489210145565,0.6692721162545412,12600
pooled,HSS,13,0.07178798117889239,0.04800460408501905,0.6686997363164978,12600
pooled,HSS,14,0.07165687604171653,0.047961821884888504,0.6693261628788637,12600
pooled,HSS,15,0.07147996667491656,0.04787031222895645,0.6697024978574156,12600
pooled,HSS,16,0.07087549346816978,0.047725459723213466,0.6733704047457109,12600
