cross_domain_score_mean,cross_domain_score_mean_std,cross_domain_score_std,event_score_mean,event_score_mean_std,event_score_std,method,method_display,n_seeds,parameter,semantic_retention_index_mean,semantic_retention_index_mean_std,semantic_retention_index_std,task_set,temporal_score_mean,temporal_score_mean_std,temporal_score_std
1.0,$100.00 \pm 0.00$,0.0,1.0,$100.00 \pm 0.00$,0.0,no_protection,No Protection,3,--,1.0,$100.00 \pm 0.00$,0.0,non_ran,1.0,$100.00 \pm 0.00$,0.0
0.5359794855922081,$53.60 \pm 6.03$,0.0602748693258225,0.2522949718661196,$25.23 \pm 0.35$,0.003514106187142958,fixed_ae_sigma1,Fixed-Noise AE,3,sigma=1.0,0.35090577440978404,$35.09 \pm 1.46$,0.014581063001736531,non_ran,0.2644428657710243,$26.44 \pm 6.71$,0.06705681367743872
0.6183304456873037,$61.83 \pm 7.38$,0.07382443621995635,0.24317575624506224,$24.32 \pm 1.05$,0.010452873507039629,aniae,Proposed ANIAE,3,adaptive,0.3655345077059773,$36.55 \pm 2.03$,0.020323747054513244,non_ran,0.2350973211855658,$23.51 \pm 6.97$,0.06971785239107668
